bus	device	latitude	longitude	updated
2	arduino	22.360985		2018-05-20T15:39:35.616Z
2	arduino	22.360987		2018-05-20T15:39:40.675Z
2	arduino	22.360989		2018-05-20T15:39:45.654Z
2	arduino	22.360991		2018-05-20T15:39:50.574Z
2	arduino	22.360989		2018-05-20T15:39:55.795Z
2	arduino	22.360991		2018-05-20T15:40:01.556Z
2	arduino	22.360991		2018-05-20T15:40:05.515Z
2	arduino	22.360992		2018-05-20T15:40:10.617Z
2	arduino	22.360992		2018-05-20T15:40:15.618Z
2	arduino	22.360992		2018-05-20T15:40:20.623Z
2	arduino	22.360994		2018-05-20T15:40:25.828Z
2	arduino	22.360996		2018-05-20T15:40:30.691Z
2	arduino	22.360998		2018-05-20T15:40:35.632Z
2	arduino	22.361002		2018-05-20T15:40:40.853Z
2	arduino	22.361006		2018-05-20T15:40:45.973Z
2	arduino	22.361012		2018-05-20T15:40:50.692Z
2	arduino	22.361017		2018-05-20T15:40:55.653Z
2	arduino	22.361021		2018-05-20T15:41:00.832Z
2	arduino	22.361025		2018-05-20T15:41:05.752Z
2	arduino	22.361029		2018-05-20T15:41:10.632Z
2	arduino	22.361031		2018-05-20T15:41:16.172Z
2	arduino	22.361032		2018-05-20T15:41:20.816Z
2	arduino	22.361032		2018-05-20T15:41:25.994Z
2	arduino	22.361032		2018-05-20T15:41:30.592Z
2	arduino	22.361032		2018-05-20T15:41:36.375Z
2	arduino	22.361031		2018-05-20T15:41:42.333Z
2	arduino	22.361029		2018-05-20T15:41:45.652Z
2	arduino	22.361025		2018-05-20T15:41:51.008Z
2	arduino	22.361019		2018-05-20T15:41:55.974Z
2	arduino	22.361015		2018-05-20T15:42:00.674Z
2	arduino	22.361013		2018-05-20T15:42:06.914Z
2	arduino	22.361012		2018-05-20T15:42:10.913Z
2	arduino	22.36101		2018-05-20T15:42:15.772Z
2	arduino	22.36101		2018-05-20T15:42:20.716Z
2	arduino	22.36101		2018-05-20T15:42:25.934Z
2	arduino	22.361008		2018-05-20T15:42:30.635Z
2	arduino	22.361008		2018-05-20T15:42:35.696Z
2	arduino	22.361004		2018-05-20T15:42:40.956Z
2	arduino	22.361002		2018-05-20T15:42:45.695Z
2	arduino	22.361		2018-05-20T15:42:50.873Z
2	arduino	22.361		2018-05-20T15:42:55.633Z
2	arduino	22.361		2018-05-20T15:43:00.694Z
2	arduino	22.361		2018-05-20T15:43:05.794Z
2	arduino	22.360998		2018-05-20T15:43:10.655Z
2	arduino	22.360998		2018-05-20T15:43:15.695Z
2	arduino	22.360998		2018-05-20T15:43:20.737Z
2	arduino	22.360996		2018-05-20T15:43:30.638Z
2	arduino	22.360994		2018-05-20T15:43:35.658Z
2	arduino	22.360992		2018-05-20T15:43:40.618Z
2	arduino	22.360991		2018-05-20T15:43:45.737Z
2	arduino	22.360991		2018-05-20T15:43:50.599Z
2	arduino	22.360991		2018-05-20T15:43:55.677Z
2	arduino	22.360994		2018-05-20T15:44:00.675Z
2	arduino	22.360998		2018-05-20T15:44:05.642Z
2	arduino	22.361004		2018-05-20T15:44:10.637Z
2	arduino	22.361006		2018-05-20T15:44:16.816Z
2	arduino	22.36101		2018-05-20T15:44:20.659Z
2	arduino	22.36101		2018-05-20T15:44:26.559Z
2	arduino	22.36101		2018-05-20T15:44:30.598Z
2	arduino	22.360992		2018-05-20T15:51:26.950Z
2	arduino	22.360989		2018-05-20T15:51:32.111Z
2	arduino	22.360983		2018-05-20T15:51:36.872Z
2	arduino	22.360983		2018-05-20T15:51:41.669Z
2	arduino	22.360987		2018-05-20T15:51:46.812Z
2	arduino	22.360985		2018-05-20T15:51:51.891Z
2	arduino	22.360981		2018-05-20T15:51:56.690Z
2	arduino	22.360975		2018-05-20T15:52:01.629Z
2	arduino	22.360973		2018-05-20T15:52:07.212Z
2	arduino	22.360979		2018-05-20T15:52:11.709Z
2	arduino	22.360975		2018-05-20T15:52:19.372Z
2	arduino	22.360985		2018-05-20T15:52:21.633Z
2	arduino	22.360991		2018-05-20T15:52:27.531Z
2	arduino	22.360998		2018-05-20T15:52:31.673Z
2	arduino	22.361002		2018-05-20T15:52:36.772Z
2	arduino	22.361		2018-05-20T15:52:41.673Z
2	arduino	22.361		2018-05-20T15:52:47.673Z
2	arduino	22.361		2018-05-20T15:52:53.991Z
2	arduino	22.361		2018-05-20T15:52:57.013Z
2	arduino	22.360998		2018-05-20T15:53:01.691Z
2	arduino	22.360987		2018-05-20T15:53:09.634Z
2	arduino	22.360983		2018-05-20T15:53:11.690Z
2	arduino	22.360979		2018-05-20T15:53:18.492Z
1	stm32	22.251497	113.516144	2018-05-21T23:21:32.022Z
1	stm32	22.25152	113.515953	2018-05-21T23:21:46.123Z
1	stm32	22.251549	113.515785	2018-05-21T23:22:00.263Z
1	stm32	22.251701	113.51564	2018-05-21T23:22:14.362Z
1	stm32	22.25186	113.515617	2018-05-21T23:22:30.501Z
1	stm32	22.252048	113.515556	2018-05-21T23:22:46.823Z
1	stm32	22.252111	113.515541	2018-05-21T23:23:02.863Z
1	stm32	22.252094	113.515549	2018-05-21T23:23:19.383Z
1	stm32	22.252094	113.515549	2018-05-21T23:23:36.104Z
1	stm32	22.252092	113.515549	2018-05-21T23:23:52.244Z
1	stm32	22.25209	113.515541	2018-05-21T23:24:08.404Z
1	stm32	22.25209	113.515549	2018-05-21T23:24:24.662Z
1	stm32	22.252155	113.515518	2018-05-21T23:24:41.965Z
1	stm32	22.252272	113.515472	2018-05-21T23:24:58.866Z
1	stm32	22.25281	113.515419	2018-05-21T23:25:14.866Z
1	stm32	22.254803	113.51519	2018-05-21T23:25:31.067Z
1	stm32	22.256742	113.51503	2018-05-21T23:25:48.272Z
1	stm32	22.257298	113.514977	2018-05-21T23:26:08.031Z
