routeNumber,isGo2Work,last_stop_name,next_stop_name,seqNumber,next_stop_seq,last_stop_latitude,last_stop_longitude,next_stop_latitude,next_stop_longitude,plannedArrivalTime,segment
11,True,珠海电台,交行大厦,2,3,22.2490406121,113.58709587959999,22.247606493800003,113.5788560103,7:39,珠海电台-交行大厦
11,True,交行大厦,吉大,3,4,22.247606493800003,113.5788560103,22.2508734725,113.5761308859,7:41,交行大厦-吉大
11,True,吉大,海滨公园,4,5,22.2508734725,113.5761308859,22.2609295761,113.5817436572,7:44,吉大-海滨公园
11,True,海滨公园,唐家市场,5,6,22.2609295761,113.5817436572,22.359702164,113.5999811917,8:07,海滨公园-唐家市场
11,True,唐家市场,南方软件园,6,7,22.359702164,113.5999811917,22.372630798200003,113.5759242192,8:30,唐家市场-南方软件园
12,False,南方软件园,水拥坑,1,2,22.372630798200003,113.5759242192,22.308105924899998,113.5836052647,18:00,南方软件园-水拥坑
12,False,水拥坑,紫荆园,2,3,22.308105924899998,113.5836052647,22.282935021,113.56567221379999,18:00,水拥坑-紫荆园
12,False,紫荆园,南坑,3,4,22.282935021,113.56567221379999,22.275498445100002,113.5658168812,18:00,紫荆园-南坑
12,False,南坑,新村,4,5,22.275498445100002,113.5658168812,22.270988,113.55470600000001,18:00,南坑-新村
12,False,新村,公交新村,5,6,22.270988,113.55470600000001,22.266379,113.54904199999999,18:00,新村-公交新村
12,False,公交新村,华侨宾馆,6,7,22.266379,113.54904199999999,22.230150188000003,113.55184595850001,18:00,公交新村-华侨宾馆
12,True,南坑,水拥坑,3,4,22.2754140557,113.5659013708,22.298781833400003,113.5773694665,7:52,南坑-水拥坑
12,True,水拥坑,鸡山,4,5,22.298781833400003,113.5773694665,22.3346958699,113.59513916659999,8:02,水拥坑-鸡山
12,True,鸡山,南方软件园,5,6,22.3346958699,113.59513916659999,22.372630798200003,113.5759242192,8:30,鸡山-南方软件园
13,False,南方软件园,鸡山,1,2,22.372630798200003,113.5759242192,22.336893736300002,113.5941171859,18:00,南方软件园-鸡山
13,False,鸡山,华子石东,2,3,22.336893736300002,113.5941171859,22.2912585957,113.5724976855,18:00,鸡山-华子石东
13,False,华子石东,城市广场,3,4,22.2912585957,113.5724976855,22.280345999999998,113.556949,18:00,华子石东-城市广场
13,False,城市广场,兴业中,4,5,22.280345999999998,113.556949,22.272640507,113.5581028848,18:00,城市广场-兴业中
13,False,兴业中,翰林苑,5,6,22.272640507,113.5581028848,22.24171,113.52795,18:00,兴业中-翰林苑
13,False,翰林苑,东桥工业区,6,7,22.24171,113.52795,22.2216458196,113.5193197233,18:00,翰林苑-东桥工业区
13,True,前山,金桦花园,1,2,22.2408152759,113.52802547110001,22.2745128792,113.54291458760001,7:42,前山-金桦花园
13,True,金桦花园,城市广场,2,3,22.2745128792,113.54291458760001,22.281115020399998,113.55702299459999,7:47,金桦花园-城市广场
13,True,城市广场,唐家,3,4,22.281115020399998,113.55702299459999,22.3546284767,113.5972925083,8:05,城市广场-唐家
13,True,唐家,南方软件园,4,5,22.3546284767,113.5972925083,22.372630798200003,113.5759242192,8:30,唐家-南方软件园
